date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:54:18	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2003%20Dec%202024%2009:54:18%20GMT	https://basescans.org/tokenapprovalchecker	D:/NNK/jules/basescans.org/tokenapprovalchecker.0.delayed	(from )
17:54:18	2435/2435	---M-Z	200	added ('OK')	text/html	etag:%22983-6717c37d-5b83344efe652ca4;gz%22	https://basescans.org/	D:/NNK/jules/basescans.org/index.html	(from )
17:54:19	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-4f634f835c3c14e0;gz%22	https://basescans.org/robots.txt		(from )
17:54:19	15406/15406	---M-Z	200	added ('OK')	image/x-icon	etag:%223c2e-6717c37f-afdd377477167ca8;gz%22	https://basescans.org/assets/favicon-IkJrym8w.ico	D:/NNK/jules/basescans.org/assets/favicon-IkJrym8w.ico	(from https://basescans.org/)
17:54:19	1384564/1384564	---M-Z	200	added ('OK')	application/javascript	etag:W/%22152074-xDaPHm3qavjrnxVY9IkHZkw5f40%22	https://cdn.jsdelivr.net/npm/web3@1.5.2/dist/web3.min.js	D:/NNK/jules/cdn.jsdelivr.net/npm/web3@1.5.2/dist/web3.min.js	(from https://basescans.org/)
17:54:21	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-4f634f835c3c14e0;gz%22	https://basescans.org/assets/svg/patterns/waves.svg	D:/NNK/jules/basescans.org/assets/svg/patterns/waves.svg	(from https://basescans.org/)
17:54:21	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-4f634f835c3c14e0;gz%22	https://basescans.org/assets/svg/patterns/waves-light.svg	D:/NNK/jules/basescans.org/assets/svg/patterns/waves-light.svg	(from https://basescans.org/)
17:54:23	767336/767336	---M-Z	200	added ('OK')	application/x-javascript	etag:%22bb568-6717c37f-e3fa7af199af7f91;gz%22	https://basescans.org/assets/index-BNPp0vSl.js	D:/NNK/jules/basescans.org/assets/index-BNPp0vSl.js	(from https://basescans.org/)
17:54:23	907230/907230	---M-Z	200	added ('OK')	text/css	etag:%22dd7de-6717c37f-340d58b2e0287f57;gz%22	https://basescans.org/assets/index-BMpjedpE.css	D:/NNK/jules/basescans.org/assets/index-BMpjedpE.css	(from https://basescans.org/)
17:54:23	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-4f634f835c3c14e0;gz%22	https://basescans.org/$&/	D:/NNK/jules/basescans.org/$&/index.html	(from https://basescans.org/assets/index-BNPp0vSl.js)
17:54:24	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-4f634f835c3c14e0;gz%22	https://basescans.org/x,w	D:/NNK/jules/basescans.org/x,w.7.delayed	(from https://basescans.org/assets/index-BNPp0vSl.js)
17:54:24	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-4f634f835c3c14e0;gz%22	https://basescans.org/Trident/	D:/NNK/jules/basescans.org/Trident/index.html	(from https://basescans.org/assets/index-BNPp0vSl.js)
17:54:25	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-4f634f835c3c14e0;gz%22	https://basescans.org/ethers.js	D:/NNK/jules/basescans.org/ethers.js	(from https://basescans.org/assets/index-BNPp0vSl.js)
17:54:25	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-4f634f835c3c14e0;gz%22	https://basescans.org/For%20more%20details:%20https://docs.ethers.io/api-keys/	D:/NNK/jules/basescans.org/For%20more%20details_%20https_/docs.ethers.io/api-keys/index.html	(from https://basescans.org/assets/index-BNPp0vSl.js)
17:54:25	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-4f634f835c3c14e0;gz%22	https://basescans.org/webfonts/fa-brands-400.woff2	D:/NNK/jules/basescans.org/webfonts/fa-brands-400.woff2	(from https://basescans.org/assets/index-BMpjedpE.css)
17:54:25	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-4f634f835c3c14e0;gz%22	https://basescans.org/webfonts/fa-brands-400.ttf	D:/NNK/jules/basescans.org/webfonts/fa-brands-400.ttf	(from https://basescans.org/assets/index-BMpjedpE.css)
17:54:26	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-4f634f835c3c14e0;gz%22	https://basescans.org/webfonts/fa-duotone-900.woff2	D:/NNK/jules/basescans.org/webfonts/fa-duotone-900.woff2	(from https://basescans.org/assets/index-BMpjedpE.css)
17:54:26	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-4f634f835c3c14e0;gz%22	https://basescans.org/webfonts/fa-duotone-900.ttf	D:/NNK/jules/basescans.org/webfonts/fa-duotone-900.ttf	(from https://basescans.org/assets/index-BMpjedpE.css)
17:54:26	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-4f634f835c3c14e0;gz%22	https://basescans.org/webfonts/fa-light-300.woff2	D:/NNK/jules/basescans.org/webfonts/fa-light-300.woff2	(from https://basescans.org/assets/index-BMpjedpE.css)
17:54:26	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-4f634f835c3c14e0;gz%22	https://basescans.org/webfonts/fa-light-300.ttf	D:/NNK/jules/basescans.org/webfonts/fa-light-300.ttf	(from https://basescans.org/assets/index-BMpjedpE.css)
17:54:27	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-4f634f835c3c14e0;gz%22	https://basescans.org/webfonts/fa-regular-400.woff2	D:/NNK/jules/basescans.org/webfonts/fa-regular-400.woff2	(from https://basescans.org/assets/index-BMpjedpE.css)
17:54:27	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-4f634f835c3c14e0;gz%22	https://basescans.org/webfonts/fa-regular-400.ttf	D:/NNK/jules/basescans.org/webfonts/fa-regular-400.ttf	(from https://basescans.org/assets/index-BMpjedpE.css)
17:54:27	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-4f634f835c3c14e0;gz%22	https://basescans.org/webfonts/fa-solid-900.woff2	D:/NNK/jules/basescans.org/webfonts/fa-solid-900.woff2	(from https://basescans.org/assets/index-BMpjedpE.css)
17:54:27	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-4f634f835c3c14e0;gz%22	https://basescans.org/webfonts/fa-solid-900.ttf	D:/NNK/jules/basescans.org/webfonts/fa-solid-900.ttf	(from https://basescans.org/assets/index-BMpjedpE.css)
17:54:28	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-4f634f835c3c14e0;gz%22	https://basescans.org/webfonts/fa-thin-100.woff2	D:/NNK/jules/basescans.org/webfonts/fa-thin-100.woff2	(from https://basescans.org/assets/index-BMpjedpE.css)
17:54:28	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-4f634f835c3c14e0;gz%22	https://basescans.org/webfonts/fa-thin-100.ttf	D:/NNK/jules/basescans.org/webfonts/fa-thin-100.ttf	(from https://basescans.org/assets/index-BMpjedpE.css)
17:54:28	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-4f634f835c3c14e0;gz%22	https://basescans.org/webfonts/fa-v4compatibility.woff2	D:/NNK/jules/basescans.org/webfonts/fa-v4compatibility.woff2	(from https://basescans.org/assets/index-BMpjedpE.css)
17:54:28	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-4f634f835c3c14e0;gz%22	https://basescans.org/webfonts/fa-v4compatibility.ttf	D:/NNK/jules/basescans.org/webfonts/fa-v4compatibility.ttf	(from https://basescans.org/assets/index-BMpjedpE.css)
